lastname,firstname,type,teams_id
Watanabe,Hayato,1,Kumezaki High
Takahashi,Jun,1,Egashira High
Yamada,Shin,1,Yutsumi Gakuen
Nakamura,Leo,1,Ojizawa High
Takahashi,Sora,1,Ikemoto Commerce High
Park,Mason,1,Yamanaka Commercial
Gonzalez,Toma,1,Nagane Industry High
Kishida,Jun,1,Obayashi Academy
Kishida,Jun,1,Kamino High
Kato,Riku,1,Hakozaki High
Lopez,Ren,1,Harada West High
Fujita,Sora,1,Edarikan High
Nakamura,Aoi,1,Kawazu Academy
Nakamura,Toma,1,Ropponmatsu High
Ito,Jun,1,Matsuki Commercial
Nakamura,Hayato,1,Nakasone High
Smith,Toma,1,Kinjo Second
Lopez,Jun,1,Dougita High
Kishida,Hayato,1,Muranodai High
Park,Noah,1,Kawasanada Gakuin
Kobayashi,Aoi,1,Takara Daichi High
Brown,Yuto,1,Karugaoka High
Lopez,Yuto,1,Kachiyama High
Kishida,Leo,1,Tao Gakuin
Sato,Riku,1,Iizumi High
Tanaka,Kaito,1,Kawaden Koygyo High
Johnson,Leo,1,Iwai High
Tanaka,Daiki,1,Senba High
Abe,Leo,1,Shigemitsu
Kato,Sora,1,Chogen International
Johnson,Noah,1,Kamakura High
Takahashi,Yuto,1,Yamanoe High
Watanabe,Daiki,1,Nakamiya South High
Kobayashi,Toma,1,Kogomo North High
Aida,Riko,1,Seirin High
Takeuchi,Genta,1,Kaijo High
Harasawa,Katsunori,1,Too Academy
Nakatani,Masaaki,1,Shutoku High
Shirogane,Eiji,1,Rakuzan High
Araki,Masako,1,Yosen High
