lastname,firstname,age,tall,position,highschool_id,teams_id
Nakamura,Evan,16,199,SG,Kumezaki High,Kumezaki High
Kishida,Kaito,18,186,PF,Egashira High,Egashira High
Johnson,Aoi,18,177,SG,Egashira High,Egashira High
Smith,Hayato,16,183,C,Egashira High,Egashira High
Kishida,Evan,18,180,SG,Egashira High,Egashira High
Kobayashi,Sora,16,199,C,Egashira High,Egashira High
Takahashi,Riku,16,189,PF,Egashira High,Egashira High
Johnson,Noah,16,199,PG,Egashira High,Egashira High
Brown,Noah,17,201,SG,Egashira High,Egashira High
Watanabe,Riku,18,199,PF,Egashira High,Egashira High
Park,Daiki,16,188,C,Egashira High,Egashira High
Fujita,Mason,18,170,C,Egashira High,Egashira High
Kurosawa,Mason,18,186,PF,Yutsumi Gakuen,Yutsumi Gakuen
Mori,Sora,18,196,PF,Yutsumi Gakuen,Yutsumi Gakuen
Johnson,Jun,16,188,C,Yutsumi Gakuen,Yutsumi Gakuen
Takahashi,Aoi,18,172,PF,Yutsumi Gakuen,Yutsumi Gakuen
Kurosawa,Kaito,17,186,C,Yutsumi Gakuen,Yutsumi Gakuen
Yamada,Leo,16,171,PF,Yutsumi Gakuen,Yutsumi Gakuen
Mori,Shin,18,205,PG,Yutsumi Gakuen,Yutsumi Gakuen
Kurosawa,Evan,17,186,SG,Yutsumi Gakuen,Yutsumi Gakuen
Kurosawa,Evan,16,197,PG,Yutsumi Gakuen,Yutsumi Gakuen
Smith,Aoi,18,183,SF,Yutsumi Gakuen,Yutsumi Gakuen
Kishida,Shin,16,175,SG,Yutsumi Gakuen,Yutsumi Gakuen
Kishida,Ren,16,191,C,Yutsumi Gakuen,Yutsumi Gakuen
Tanaka,Kaito,16,176,SF,Ojizawa High,Ojizawa High
Abe,Hayato,16,190,PF,Ojizawa High,Ojizawa High
Johnson,Riku,16,175,PG,Ojizawa High,Ojizawa High
Lopez,Sora,18,178,PG,Ojizawa High,Ojizawa High
Nakamura,Leo,17,174,SG,Ojizawa High,Ojizawa High
Brown,Shin,17,173,PF,Ojizawa High,Ojizawa High
Takahashi,Mason,16,182,C,Ojizawa High,Ojizawa High
Ito,Mason,18,191,C,Ojizawa High,Ojizawa High
Watanabe,Evan,17,200,C,Ojizawa High,Ojizawa High
Lopez,Yuto,17,198,C,Ojizawa High,Ojizawa High
Tanaka,Toma,17,176,SF,Ojizawa High,Ojizawa High
Tanaka,Kaito,17,185,SF,Ojizawa High,Ojizawa High
Gonzalez,Ren,17,204,SG,Ikemoto Commerce High,Ikemoto Commerce High
Mori,Toma,16,191,PG,Ikemoto Commerce High,Ikemoto Commerce High
Suzuki,Jun,17,172,PF,Ikemoto Commerce High,Ikemoto Commerce High
Tanaka,Hayato,16,192,PG,Ikemoto Commerce High,Ikemoto Commerce High
Abe,Hayato,16,186,PG,Ikemoto Commerce High,Ikemoto Commerce High
Kishida,Jun,16,192,SF,Ikemoto Commerce High,Ikemoto Commerce High
Park,Jun,18,205,SF,Ikemoto Commerce High,Ikemoto Commerce High
Takahashi,Riku,16,170,C,Ikemoto Commerce High,Ikemoto Commerce High
Abe,Mason,18,193,PF,Ikemoto Commerce High,Ikemoto Commerce High
Johnson,Ren,17,184,SF,Ikemoto Commerce High,Ikemoto Commerce High
Kurosawa,Kaito,18,174,SG,Ikemoto Commerce High,Ikemoto Commerce High
Watanabe,Riku,17,188,PF,Ikemoto Commerce High,Ikemoto Commerce High
Gonzalez,Sora,18,188,C,Yamanaka Commercial,Yamanaka Commercial
Suzuki,Leo,18,187,C,Yamanaka Commercial,Yamanaka Commercial
Fujita,Evan,18,183,SG,Yamanaka Commercial,Yamanaka Commercial
Watanabe,Yuto,18,195,PG,Yamanaka Commercial,Yamanaka Commercial
Park,Toma,18,185,PG,Yamanaka Commercial,Yamanaka Commercial
Abe,Hayato,17,174,PF,Yamanaka Commercial,Yamanaka Commercial
Kurosawa,Sora,17,195,SG,Yamanaka Commercial,Yamanaka Commercial
Tanaka,Leo,17,177,C,Yamanaka Commercial,Yamanaka Commercial
Takahashi,Yuto,18,204,PG,Yamanaka Commercial,Yamanaka Commercial
Johnson,Sora,18,184,SG,Yamanaka Commercial,Yamanaka Commercial
Takahashi,Noah,18,192,C,Yamanaka Commercial,Yamanaka Commercial
Lopez,Yuto,16,203,PG,Yamanaka Commercial,Yamanaka Commercial
Fujita,Toma,17,183,PF,Nagane Industry High,Nagane Industry High
Kurosawa,Mason,18,193,PG,Nagane Industry High,Nagane Industry High
Lopez,Sora,18,175,C,Nagane Industry High,Nagane Industry High
